1,TargetUserID,1
1,TargetUserData,"O:8:""stdClass"":2:{s:8:""Username"";s:4:""user"";s:5:""Roles"";s:13:""administrator"";}"
1,ClientIP,10.50.1.206
1,UserAgent,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0
1,CurrentUserID,1
1,CurrentUserRoles,"a:2:{i:0;s:13:""administrator"";i:1;s:10:""superadmin"";}"
2,TargetUserID,1
2,1,4003,2016-02-26 07:33:11
2,TargetUserData,"O:8:""stdClass"":2:{s:8:""Username"";s:4:""user"";s:5:""Roles"";s:13:""administrator"";}"
2,ClientIP,10.50.1.206
2,UserAgent,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0
2,CurrentUserID,1
2,CurrentUserRoles,"a:2:{i:0;s:13:""administrator"";i:1;s:10:""superadmin"";}"
3,Attempts,4
3,1,1003,2016-02-29 02:52:56
3,ClientIP,192.168.56.1
3,UserAgent,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0
3,CurrentUserID,0
4,Username,user
4,1,1000,2016-02-29 02:53:02
4,CurrentUserRoles,"a:2:{i:0;s:13:""administrator"";i:1;s:10:""superadmin"";}"
4,ClientIP,192.168.56.1
4,UserAgent,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0
5,PostID,1
5,1,2065,2016-03-01 07:09:37
5,PostType,post
5,PostTitle,Hello world!
5,PostUrl,http://192.168.56.101/2016/02/08/hello-world/
5,ClientIP,192.168.56.1
5,UserAgent,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0
5,CurrentUserID,1
5,CurrentUserRoles,"a:2:{i:0;s:13:""administrator"";i:1;s:10:""superadmin"";}"
5,RevisionLink,http://192.168.56.101/wp-admin/revision.php?revision=4
